Event Description,Experience Type (exposure categories) ,Traumatic/ Non-Traumatic,Trauma severity (High/ Moderate/ Low),Type of Trauma
witnessed father beat mother until bloody,Witnessed (W),Traumatic,High,Close interpersonal perpetrator
watched an action movie in theaters,Witnessed (W),Non-Traumatic,Low,Miscellaneous
contracted a mild skin fungus,Experienced Directly (ED),Non-Traumatic,Low,Health/Medical
watched a movie in which several children were shot and killed,Witnessed (W),Non-Traumatic,Moderate,Actual death
rode a mechanical bull,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
had a tire explode while driving,Experienced Directly (ED),Traumatic,Moderate,Threat of physical injury
stood near the edge of a sheer cliff during a hike,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was paralyzed in half of his/her face after a stroke,Experienced Directly (ED),Traumatic,High,Health/Medical
lost an expensive watch,Experienced Directly (ED),Non-Traumatic,Low,Loss of possessions
lost all possessions during a house fire,Experienced Directly (ED),Traumatic,High,Loss of possessions
was asked for sex by a boss,Experienced Directly (ED),Traumatic,Moderate,Sexual content
was socially excluded,Experienced Directly (ED),Non-Traumatic,Moderate,Threat to social status or other identity
attempted suicide by gunshot but survived,Experienced Directly (ED),Traumatic,High,Threat of death
failed out of law school,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
had an elective tongue piercing,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was burned in a fireworks accident,Experienced Directly (ED),Traumatic,High,Physical pain
was raped by a close friend,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
lost significant language function after a stroke,Experienced Directly (ED),Traumatic,High,Health/Medical
drank a can of soda,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
baked a cake,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
discovered a coyote in a backyard,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
ate granola,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was stabbed by a close friend,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
became bankrupt after a failed business,Experienced Directly (ED),Traumatic,High,Loss of possessions
watched a TV show in which an adolescent died by suicide,Witnessed (W),Traumatic,Moderate,Actual death
broke a nail,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
learned about a stranger being beheaded,Learned About (LA),Traumatic,High,Actual death
cleaned windows,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was in a building that collapsed during an earthquake,Experienced Directly (ED),Traumatic,High,Threat of death
lost all life savings due to robbery,Experienced Directly (ED),Traumatic,High,Loss of possessions
witnessed an adult die after administering unsuccessful CPR,Witnessed (W),Traumatic,High,Actual death
witnessed a friend killing innocents during warfare,Witnessed (W),Traumatic,High,Actual death
had a heart attack and was resuscitated,Experienced Directly (ED),Traumatic,High,Health/Medical
read a textbook on biology,Learned About (LA),Non-Traumatic,Low,Miscellaneous
was paralyzed from the neck down due to a football injury,Experienced Directly (ED),Traumatic,High,Actual physical injury
was teased at school,Experienced Directly (ED),Traumatic,Moderate,Threat to social status or other identity
watched a TV show in which an adult was decapitated,Witnessed (W),Traumatic,Moderate,Actual death
read a car owner's manual,Learned About (LA),Non-Traumatic,Low,Miscellaneous
played volleyball with family,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
,,,,
was burned on the hand in a kitchen accident,Experienced Directly (ED),Traumatic,Low,Physical pain
paid federal taxes,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
witnessed a stranger being stabbed,Witnessed (W),Traumatic,High,Actual physical injury
visited a local landfill,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
read an article about local elections,Learned About (LA),Non-Traumatic,Low,Miscellaneous
received a death threat via social media,Learned About (LA),Traumatic,High,Threat of death
was robbed at gunpoint,Experienced Directly (ED),Traumatic,High,Threat of physical injury
jaywalked across the street,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
had a major allergic reaction to peanuts,Experienced Directly (ED),Traumatic,High,Health/Medical
took in an article of clothing for tailoring,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was unsuccessful in college applications,Experienced Directly (ED),Non-Traumatic,Low,Threat to social status or other identity
learned about a stranger entering the home during the night,Learned About (LA),Traumatic,High,Threat to moral worldview
had their tongue removed by a surgeon for medical reasons,Experienced Directly (ED),Traumatic,High,Health/Medical
learned about a family member going to a party,Learned About (LA),Non-Traumatic,Low,Miscellaneous
erased important information from a whiteboard,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was spanked by parents,Experienced Directly (ED),Traumatic,Moderate,Close interpersonal perpetrator
was not hired after a job interview,Learned About (LA),Traumatic,Low,Threat to social status or other identity
had a haircut,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
had an abortion,Experienced Directly (ED),Traumatic,High,Actual death
witnessed a bull die in a bull-fight,Witnessed (W),Traumatic,High,Actual death
was interrogated by police,Experienced Directly (ED),Non-Traumatic,High,Threat to social status or other identity
was beaten until unconscious by a father,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
was slapped in the face by a mother,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
drank lemonade with dry cracked lips,Experienced Directly (ED),Non-Traumatic,Low,Physical pain
witnessed a child being shot and killed,Witnessed (W),Traumatic,High,Actual death
was knocked unconscious while practicing martial arts,Experienced Directly (ED),Traumatic,Moderate,Actual physical injury
learned about a stranger being tortured as a prisoner of war,Learned About (LA),Traumatic,Moderate,Physical pain
read a horoscope prediction,Learned About (LA),Non-Traumatic,High,Miscellaneous
"made a medication error as a nurse, resulting in a patient's death",Experienced Directly (ED),Traumatic,High,Actual death
learned that a romantic partner had been unfaithful,Learned About (LA) ,Traumatic,High,Threat to trust in interpersonal relationships
learned about a stranger changing jobs,Learned About (LA),Non-Traumatic,Low,Miscellaneous
sang karaoke,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
received a pat-down from a TSA agent,Experienced Directly (ED),Non-Traumatic,Low,Threat to moral worldview
learned about a close friend being tortured as a prisoner of war,Learned About (LA),Traumatic,High,Close interpersonal victim
lost a child in a house fire,Experienced Directly (ED),Traumatic,High,Actual death
listened to an audio tape of a stranger being tortured,Experienced Directly (ED),Traumatic,High,Physical pain
learned about the natural death of a family member,Learned About (LA),Traumatic,High,Actual death
was raped,Experienced Directly (ED),Traumatic,High,Sexual content
visited a local museum,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was stabbed by a stranger,Experienced Directly (ED),Traumatic,High,Actual physical injury
mowed the lawn,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
checked out a book at a library,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
lost a child due to complications in childbirth,Experienced Directly (ED),Traumatic,High,Actual death
looked down over a cliff's edge on a hike,Witnessed (W),Non-Traumatic,Moderate,Miscellaneous
learned about a family member choking on a piece of food,Learned About (LA),Traumatic,Moderate,Health/Medical
had a conversation at a family dinner,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
walked up a flight of stairs,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
lost an important package in the mail,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was sniffed in the crotch by a dog,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
completely lost vision after an explosion,Experienced Directly (ED),Traumatic,High,Actual physical injury
read a comic book,Learned About (LA),Non-Traumatic,Low,Miscellaneous
was robbed at knifepoint,Experienced Directly (ED),Traumatic,High,Threat of physical injury
looked in the mirror,Witnessed (W),Non-Traumatic,Low,Miscellaneous
hosted a dinner party,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was kept for a week in solitary confinement,Experienced Directly (ED),Traumatic,High,Threat to moral worldview
read an encyclopedia entry,Learned About (LA),Non-Traumatic,Low,Miscellaneous
posted on social media,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
climbed a ladder to change a lightbulb,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
read a book of poetry,Learned About (LA) ,Non-Traumatic,Low,Miscellaneous
witnessed a family member being hit by a car and injured,Witnessed (W),Traumatic,High,Actual physical injury
watched a video of a deer being shot and killed,Witnessed (W) ,Traumatic,High,Actual death
choked on a piece of food,Experienced Directly (ED),Traumatic,Moderate,Health/Medical
went down a slide at a water park,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
experienced turbulence during a flight,Experienced Directly (ED),Non-Traumatic,Moderate,Miscellaneous
watched a pornographic film involving an adolescent,Witnessed (W),Traumatic,High,Sexual content
vomited in a friend's car,Experienced Directly (ED),Non-Traumatic,Low,Threat to social status or other identity
negligently killed an adult pedestrian while drunk driving,Experienced Directly (ED),Traumatic,High,Threat to moral identity
had a migraine headache,Experienced Directly (ED),Non-Traumatic,Moderate,Physical pain
went into a coma after a stroke,Experienced Directly (ED),Traumatic,High,Actual physical injury
broke an arm in a motorcycle accident,Experienced Directly (ED),Traumatic,High,Actual physical injury
watched a video of a man attacked by a dog,Witnessed (W),Non-Traumatic,High,Actual physical injury
witnessed a stranger being hanged,Witnessed (W),Traumatic,High,Actual death
witnessed a close friend being raped,Witnessed (W),Traumatic,High,Sexual content
experienced a parents' divorce,Experienced Directly (ED),Traumatic,High,Threat to trust in interpersonal relationships
vacuumed the carpet,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
debated with a family member about abortion,Experienced Directly (ED),Traumatic,Moderate,Threat to trust in interpersonal relationships
shoveled snow off of a walkway,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was accused of fraud on national TV,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
listened to a pop album,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
took a child to the mall,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was bruised in a car accident,Experienced Directly (ED),Traumatic,High,Physical pain
witnessed a friend die by suicide with a gun,Witnessed (W),Traumatic,High,Actual death
was electrocuted by a wall socket,Experienced Directly (ED),Traumatic,High,Threat of death
broke both legs by falling during a hike,Experienced Directly (ED),Traumatic,High,Actual physical injury
attended a community college lecture,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
attended a poetry reading group,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was sick with a stomach virus,Experienced Directly (ED),Non-Traumatic,Moderate,Health/Medical
witnessed a stranger drowning,Witnessed (W),Traumatic,High,Threat of death
attended a church service,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
cleaned mud off of shoes,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
suffered major lacerations during an earthquake,Experienced Directly (ED),Traumatic,High,Threat of physical injury
watched a video of a child being raped,Witnessed (W),Traumatic,High,Sexual content
was verbally harassed by a boss,Experienced Directly (ED),Traumatic,Moderate,Threat to social status or other identity
watched a horror movie,Witnessed (W),Non-Traumatic,Low,Miscellaneous
learned that a close friend was murdered,Experienced Directly (ED),Traumatic,High,Close interpersonal victim
got a papercut,Experienced Directly (ED),Non-Traumatic,Low,Physical pain
slept in a hotel room,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
witnessed a child die after administering unsuccessful CPR,Witnessed (W),Traumatic,High,Actual death
was tortured as a prisoner of war,Experienced Directly (ED),Traumatic,High,Actual physical injury
was raped by a stranger,Experienced Directly (ED),Traumatic,High,Sexual content
experienced a grandparents' divorce,Experienced Directly (ED),Traumatic,Moderate,Threat to trust in interpersonal relationships
developed a rash from touching poison ivy,Experienced Directly (ED),Traumatic,Moderate,Health/Medical
"was hit by a semi-truck while driving, sustaining minor injury",Experienced Directly (ED),Traumatic,High,Actual physical injury
witnessed a father die from cancer,Witnessed (W) ,Traumatic,High,Actual death
was threatened with rape by a friend,Experienced Directly (ED),Traumatic,Moderate,Close interpersonal perpetrator
learned about engine failure while on a flight,Learned About (LA),Traumatic,Low,Threat of physical injury
paid for the bill at a restaurant,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was cut from the basketball team,Experienced Directly (ED),Non-Traumatic,Low,Physical pain
was slapped in the face by a stranger,Experienced Directly (ED),Non-Traumatic,Moderate,Human perpetrator
watched a video of an adult being shot and killed,Witnessed (W),Traumatic,High,Actual death
killed a child pedestrian while driving,Experienced Directly (ED),Traumatic,High,Threat to moral identity
lost a medical licence due to false accusations of malpractice,Experienced Directly (ED),Traumatic,Moderate,Threat to social status or other identity
changed a baby's diaper,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
shopped for clothing,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
crossed the street at a pedestrian walkway,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
suffered from an asthma attack,Experienced Directly (ED),Traumatic,Moderate,Health/Medical
met a friend for coffee,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
broke an ankle while running,Experienced Directly (ED),Traumatic,High,Actual physical injury
debated with a friend about abortion,Experienced Directly (ED),Traumatic,Low,Threat to moral worldview
was falsely accused of rape by a friend,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
had an identity stolen,Experienced Directly (ED),Traumatic,Moderate,Threat to social status or other identity
rode in a taxi to the airport,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
went camping,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was stabbed,Experienced Directly (ED),Traumatic,High,Actual physical injury
was touched in the crotch by a relative without permission,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
was touched in the crotch by a father without permission,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
was hit by a car and broke a vertebrae,Experienced Directly (ED),Traumatic,Moderate,Actual physical injury 
was ignored by a parent,Experienced Directly (ED),Non-Traumatic,Low,Threat to trust in interpersonal relationships
saw a snake at the zoo,Witnessed (W),Non-Traumatic,High,Miscellaneous
witnessed a stranger killing innocents during warfare,Witnessed (W),Traumatic,Low,Threat to moral worldview
cleaned a toilet,Experienced Directly (ED),Non-Traumatic,High,Miscellaneous
was slandered in a national newspaper,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
had a home searched by police,Experienced Directly (ED),Traumatic,Low,Threat to moral identity
tripped and scraped a knee on the concrete,Experienced Directly (ED),Non-Traumatic,Low,Physical pain
watched a TV show in which a child died in a vehicle accident,Witnessed (W),Traumatic,High,Actual death
took a dog for a walk,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was asked by a doctor to report a medical history,Experienced Directly (ED),Non-Traumatic,Low,Health/Medical
changed a car tire,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
listened to orchestral music,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was shot accidentally while hunting,Experienced Directly (ED),Traumatic,High,Threat of death 
was disowned by a family,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
was attacked by a mountain lion,Experienced Directly (ED),Traumatic,High,Actual physical injury 
slammed a finger in the door,Experienced Directly (ED),Non-Traumatic,Moderate,Physical pain
was stranded in the wilderness for a week,Experienced Directly (ED),Traumatic,High,Threat to moral identity
was choked by a romantic partner,Experienced Directly (ED),Traumatic,High,Threat to trust in interpersonal relationships
lost a finger in a kitchen accident,Experienced Directly (ED),Traumatic,High,Actual physical injury
lost a $20 bill,Experienced Directly (ED),Non-Traumatic,Low,Loss of possessions
read a book in which an adult was raped and murdered,Learned About (LA),Traumatic,High,Actual death
was teased by a grandfather,Experienced Directly (ED),Non-Traumatic,Low,Threat to social status or other identity
ran on the treadmill,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
rode on a jet ski,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was told he/she was stupid by a parent,Experienced Directly (ED),Non-Traumatic,Moderate,Threat to trust in interpersonal relationships
witnessed domestic violence that ended in a broken arm,Witnessed (W),Traumatic,High,Actual physical injury
talked with an old friend on the phone,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
developed a rash from using chemicals while cleaning,Learned About (LA),Traumatic,Low,Physical pain
watched a video of a man being hanged,Witnessed (W) ,Traumatic,High,Actual death
swam laps at a local pool,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
witnessed a non-fatal car accident,Witnessed (W),Traumatic,High,Threat of death 
perpetrated a rape,Experienced Directly (ED),Traumatic,High,Human perpetrator
used a public bathroom,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous  
was molested by a family member,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
was slandered in a local newspaper,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
was forced at knifepoint to commit sexual acts,Experienced Directly (ED),Traumatic,High,Sexual content
learned that he/she was infertile and would never have children,Learned About (LA),Traumatic,High,Health/Medical
had a heart attack,Experienced Directly (ED),Traumatic,High,Health/Medical
attended a child's sports game,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
"was left by a romantic partner, who then paired up with a former friend",Experienced Directly (ED),Traumatic,High,Threat to trust in interpersonal relationships
was lacerated in the stomach in a workplace accident,Experienced Directly (ED),Traumatic,Moderate,Actual physical injury
was burned in a major fire,Experienced Directly (ED),Traumatic,High,Actual physical injury
had a child kidnapped,Experienced Directly (ED),Traumatic,High,Threat of death
attended an aerobics class,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
applied sunscreen,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
was called a racial slur by a friend,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
painted a landscape on canvas,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
brushed teeth and flossed,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was forcibly arrested,Experienced Directly (ED),Traumatic,Moderate,Threat to social status or other identity
was sick with the common cold,Experienced Directly (ED),Non-Traumatic,Low,Health/Medical
accidentally injured a child while drunk,Experienced Directly (ED),Traumatic,Moderate,Threat to moral identity
was knocked unconscious while boxing,Experienced Directly (ED),Traumatic,High,Actual physical injury
had a miscarriage during the second trimester,Experienced Directly (ED),Traumatic,High,Actual death
witnessed a stranger being hit by a car and killed,Witnessed (W),Traumatic,High,Actual death
attended a political rally,Experienced Directly (ED),Traumatic,Moderate,Threat to moral worldview
witnessed a family member being raped,Witnessed (W),Traumatic,High,Close interpersonal victim
washed the dishes,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
"as a nurse, witnessed a patient die",Witnessed (W),Traumatic,High,Actual death
was forced to commit sexual acts on camera,Experienced Directly (ED),Traumatic,High,Sexual content
twisted an ankle while walking,Experienced Directly (ED),Non-Traumatic,Low,Physical pain
witnessed a stranger die from cancer,Witnessed (W),Traumatic,High,Actual death
witnessed a child being killed in an IED explosion,Witnessed (W),Traumatic,High,Actual death
ate an apple,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
witnessed a mother die from cancer,Witnessed (W),Traumatic,High,Close interpersonal victim
was hit with a baseball bat,Experienced Directly (ED),Traumatic,Moderate,Physical pain
took a long nap,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
learned about a daughter working as a prostitute,Learned About (LA),Non-Traumatic,Low,Miscellaneous
was paralyzed from the neck down due to a work-related accident,Experienced Directly (ED),Traumatic,High,Actual physical injury
was burned in a kitchen fire,Experienced Directly (ED),Traumatic,High,Physical pain
was slandered on national TV,Experienced Directly (ED),Traumatic,Moderate,Threat to social status or other identity
rode a rollercoaster,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
slept late on a weekend,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
accidentally used a family member's toothbrush,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
overslept and arrived late for work,Experienced Directly (ED),Non-Traumatic,Low,Threat to moral identity
filled up a car at a gas station,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
became paralyzed below the neck while practicing martial arts,Experienced Directly (ED),Traumatic,High,Actual physical injury 
was publicly spanked by a teacher,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
read a textbook on sociology,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous
took public transportation,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was stung by a bee,Experienced Directly (ED),Traumatic,Moderate,Physical pain
gave birth to a stillborn child,Experienced Directly (ED),Traumatic,High,Health/Medical
played ping-pong,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was sentenced to 20 years in prison,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
read an email from a coworker,Witnessed (W),Non-Traumatic,Low,Miscellaneous 
hallucinated during a psychotic episode,Experienced Directly (ED),Traumatic,High,Threat to moral identity
was bullied on social media,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
used a public drinking fountain,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
watched a video of a man being punched,Witnessed (W) ,Traumatic,Moderate,Physical pain
failed an exam,Experienced Directly (ED),Non-Traumatic,Low,Threat to social status or other identity
learned about a violent rape in a college course,Learned About (LA),Traumatic,Moderate,Sexual content
met a new acquaintance at a party,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
swept the floor,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
learned about a stranger moving to another country,Learned About (LA),Non-Traumatic,Low,Miscellaneous 
had their tongue cut out by a stranger,Experienced Directly (ED),Traumatic,High,Actual physical injury
received a diagnosis of schizophrenia,Experienced Directly (ED) ,Traumatic,High,Health/Medical 
attended trivia night at a bar,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was slapped in the face by a romantic partner,Experienced Directly (ED),Traumatic,Moderate,Close interpersonal perpetrator 
climbed a tree,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
tied shoelaces,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
witnessed a daughter die in a vehicle accident,Witnessed (W),Traumatic,High,Close interpersonal victim
was touched in the crotch by a coworker without permission,Experienced Directly (ED),Traumatic,High,Sexual content
nearly drowned while playing water polo,Experienced Directly (ED),Traumatic,High,Threat of death
watched a video about car repair online,Witnessed (W),Non-Traumatic,Low,Miscellaneous 
had an emergency leg amputation without anesthesia,Experienced Directly (ED),Traumatic,High,Actual physical injury
witnessed a corpse after being hanged,Witnessed (W),Traumatic,High,Actual death
was kidnapped and held hostage,Experienced Directly (ED),Traumatic,High,Threat of death
gained 15 pounds,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was forced to practice an instrument for several hours each day,Experienced Directly (ED),Traumatic,High,Threat to moral worldview
lost a leg unexpectedly while sedated in surgery,Experienced Directly (ED),Traumatic,High,Actual physical injury
was called a racial slur,Experienced Directly (ED),Traumatic,High,Threat to social status or other identity
was licked in the face by a dog,Experienced Directly (ED),Traumatic,Low,Miscellaneous 
lost a child during an earthquake,Experienced Directly (ED),Traumatic,High,Actual death
watched a video of a child being shot and killed,Witnessed (W) ,Traumatic,High,Actual death
studied for a quiz,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
talked with a therapist,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
witnessed a cow killed by a farmer,Witnessed (W),Traumatic,Moderate,Actual death
witnessed a child die by suicide,Witnessed (W),Traumatic,High,Actual death
went to an orthodontist appointment,Experienced Directly (ED),Non-Traumatic,Low,Health/Medical 
broke an arm falling down,Experienced Directly (ED),Traumatic,Moderate,Actual physical injury
talked on the phone with a mother,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
found a stranger's hair in soup,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
participated in an online research study,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
went to a routine checkup at the doctor,Experienced Directly (ED),Non-Traumatic,Low,Health/Medical
was caught in a storm in a commercial flight,Experienced Directly (ED),Traumatic,Moderate,Threat of physical injury
performed with a church choir,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
drank a glass of water,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was kicked by a horse and broke a rib,Experienced Directly (ED),Traumatic,High,Actual physical injury
had a bad haircut,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was raped by a family member,Experienced Directly (ED),Traumatic,High,Close interpersonal perpetrator
listened to a radio station,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
assembled a new piece of furniture,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
went bungee jumping,Experienced Directly (ED),Non-Traumatic,Low,Miscellaneous 
was disowned by a father,Experienced Directly (ED),Traumatic,High,Threat to trust in interpersonal relationships
received a diagnosis of HIV/AIDs,Experienced Directly (ED),Traumatic,High,Health/Medical
had a blister on a foot,Experienced Directly (ED),Non-Traumatic,Low,Physical pain
